date,volatility_bp
2001-12-19,147.67
2001-12-26,147.4
2002-01-02,145.2
2002-01-09,143.1
2002-01-16,141.19
2002-01-23,137.94
2002-01-30,136.33
2002-02-06,133.14
2002-02-13,128.49
2002-02-20,126.28
2002-02-27,126.47
2002-03-06,127.93
2002-03-14,129.94
2002-03-21,130.06
2002-03-28,129.73
2002-04-04,128.37
2002-04-11,127.04
2002-04-18,126.7
2002-04-25,127.49
2002-05-02,128.31
2002-05-09,127.12
2002-05-16,125.19
2002-05-23,125.0
2002-05-30,125.59
2002-06-07,127.41
2002-06-14,129.33
2002-06-21,130.58
2002-06-28,130.99
2002-07-05,131.83
2002-07-12,134.24
2002-07-19,135.7
2002-07-26,138.73
2002-08-02,140.64
2002-08-09,140.26
2002-08-16,139.3
2002-08-23,139.13
2002-08-31,139.32
2002-09-07,139.54
2002-09-14,139.77
2002-09-21,140.0
2002-09-28,140.23
2002-10-05,140.46
2002-10-12,140.69
2002-10-19,140.92
2002-10-26,141.15
2002-11-02,140.09
2002-11-09,139.99
2002-11-16,140.73
2002-11-24,140.82
2002-12-01,139.89
2002-12-08,139.14
2002-12-15,139.3
2002-12-22,140.03
2002-12-29,140.15
2003-01-05,138.85
2003-01-12,136.9
2003-01-19,135.42
2003-01-26,133.81
2003-02-02,132.37
2003-02-09,131.75
2003-02-17,131.73
2003-02-24,132.85
2003-03-03,134.77
2003-03-10,136.15
2003-03-17,135.39
2003-03-24,132.97
2003-03-31,130.87
2003-04-07,128.91
2003-04-14,126.78
2003-04-21,124.3
2003-04-28,122.31
2003-05-05,122.15
2003-05-13,121.97
2003-05-20,121.81
2003-05-27,121.35
2003-06-03,121.71
2003-06-10,123.94
2003-06-17,126.67
2003-06-24,128.44
2003-07-01,130.23
2003-07-08,132.32
2003-07-15,134.34
2003-07-22,136.35
2003-07-29,138.36
2003-08-06,140.66
2003-08-13,141.9
2003-08-20,141.56
2003-08-27,140.44
2003-09-03,139.31
2003-09-10,138.19
2003-09-17,139.22
2003-09-24,140.91
2003-10-01,141.77
2003-10-08,141.64
2003-10-15,140.84
2003-10-22,140.35
2003-10-30,137.95
2003-11-06,136.55
2003-11-13,136.42
2003-11-20,136.76
2003-11-27,136.47
2003-12-04,135.13
2003-12-11,134.64
2003-12-18,134.61
2003-12-25,133.63
2004-01-01,132.25
2004-01-08,131.68
2004-01-15,132.2
2004-01-23,132.03
2004-01-30,130.49
2004-02-06,127.11
2004-02-13,126.55
2004-02-20,126.85
2004-02-27,127.33
2004-03-05,127.93
2004-03-12,128.74
2004-03-19,129.54
2004-03-26,130.51
2004-04-02,131.48
2004-04-09,129.59
2004-04-17,126.86
2004-04-24,125.32
2004-05-01,124.03
2004-05-08,122.9
2004-05-15,122.74
2004-05-22,120.4
2004-05-29,116.96
2004-06-05,113.16
2004-06-12,110.84
2004-06-19,110.35
2004-06-26,109.87
2004-07-03,109.39
2004-07-11,109.18
2004-07-18,109.17
2004-07-25,110.37
2004-08-01,112.25
2004-08-08,113.63
2004-08-15,113.47
2004-08-22,111.73
2004-08-29,110.44
2004-09-05,110.59
2004-09-12,111.95
2004-09-19,112.84
2004-09-26,112.15
2004-10-04,110.43
2004-10-11,109.93
2004-10-18,107.83
2004-10-25,104.78
2004-11-01,102.26
2004-11-08,101.02
2004-11-15,100.85
2004-11-22,101.12
2004-11-29,101.28
2004-12-06,101.44
2004-12-13,100.81
2004-12-20,99.78
2004-12-28,97.86
2005-01-04,96.62
2005-01-11,96.03
2005-01-18,95.15
2005-01-25,92.89
2005-02-01,92.08
2005-02-08,92.77
2005-02-15,95.03
2005-02-22,97.58
2005-03-01,99.39
2005-03-08,99.93
2005-03-15,98.95
2005-03-23,95.19
2005-03-30,94.22
2005-04-06,94.66
2005-04-13,94.74
2005-04-20,94.66
2005-04-27,94.72
2005-05-04,94.73
2005-05-11,94.07
2005-05-18,92.79
2005-05-25,93.0
2005-06-01,93.48
2005-06-08,93.8
2005-06-16,94.37
2005-06-23,94.99
2005-06-30,94.7
2005-07-07,93.57
2005-07-14,93.84
2005-07-21,94.16
2005-07-28,94.18
2005-08-04,93.88
2005-08-11,93.89
2005-08-18,95.09
2005-08-25,95.57
2005-09-01,94.85
2005-09-09,94.51
2005-09-16,94.35
2005-09-23,94.38
2005-09-30,94.79
2005-10-07,95.7
2005-10-14,97.03
2005-10-21,99.13
2005-10-28,100.79
2005-11-04,101.03
2005-11-11,100.18
2005-11-18,99.07
2005-11-25,98.11
2005-12-03,96.33
2005-12-10,95.04
2005-12-17,94.23
2005-12-24,92.63
2005-12-31,91.28
2006-01-07,90.94
2006-01-14,91.32
2006-01-21,91.41
2006-01-28,91.09
2006-02-04,88.11
2006-02-11,86.08
2006-02-19,85.43
2006-02-26,85.33
2006-03-05,84.75
2006-03-12,84.0
2006-03-19,84.33
2006-03-26,84.65
2006-04-02,84.67
2006-04-09,84.43
2006-04-16,84.3
2006-04-23,84.3
2006-04-30,84.56
2006-05-07,85.63
2006-05-15,85.75
2006-05-22,84.3
2006-05-29,83.41
2006-06-05,83.28
2006-06-12,83.35
2006-06-19,83.07
2006-06-26,82.27
2006-07-03,81.47
2006-07-10,81.14
2006-07-17,80.42
2006-07-24,79.18
2006-07-31,78.14
2006-08-08,77.7
2006-08-15,77.7
2006-08-22,77.68
2006-08-29,77.52
2006-09-05,78.13
2006-09-12,78.9
2006-09-19,79.21
2006-09-26,78.43
2006-10-03,76.92
2006-10-10,76.21
2006-10-17,76.37
2006-10-24,76.23
2006-11-01,75.61
2006-11-08,75.67
2006-11-15,76.36
2006-11-22,76.82
2006-11-29,76.22
2006-12-06,74.66
2006-12-13,74.18
2006-12-20,73.42
2006-12-27,72.39
2007-01-03,71.43
2007-01-10,70.8
2007-01-17,70.48
2007-01-25,70.16
2007-02-01,70.16
2007-02-08,72.08
2007-02-15,74.14
2007-02-22,74.87
2007-03-01,74.41
2007-03-08,73.59
2007-03-15,73.05
2007-03-22,72.08
2007-03-29,71.11
2007-04-05,70.79
2007-04-12,70.23
2007-04-20,68.83
2007-04-27,67.49
2007-05-04,66.69
2007-05-11,66.43
2007-05-18,66.92
2007-05-25,70.41
2007-06-01,74.19
2007-06-08,76.37
2007-06-15,77.97
2007-06-22,80.26
2007-06-29,81.46
2007-07-06,81.3
2007-07-14,83.93
2007-07-21,86.51
2007-07-28,88.09
2007-08-04,89.29
2007-08-11,90.25
2007-08-18,90.69
2007-08-25,91.71
2007-09-01,92.73
2007-09-08,93.75
2007-09-15,93.88
2007-09-22,92.85
2007-09-29,91.65
2007-10-07,91.79
2007-10-14,92.27
2007-10-21,92.75
2007-10-28,93.23
2007-11-04,96.47
2007-11-11,100.49
2007-11-18,103.32
2007-11-25,104.36
2007-12-02,104.71
2007-12-09,105.35
2007-12-16,107.93
2007-12-23,108.73
2007-12-31,110.66
2008-01-07,113.23
2008-01-14,115.5
2008-01-21,117.24
2008-01-28,119.0
2008-02-04,124.47
2008-02-11,126.87
2008-02-18,129.19
2008-02-25,131.68
2008-03-03,132.89
2008-03-10,131.5
2008-03-17,128.92
2008-03-25,125.98
2008-04-01,123.41
2008-04-08,120.83
2008-04-15,117.12
2008-04-22,114.67
2008-04-29,114.45
2008-05-06,114.47
2008-05-13,114.63
2008-05-20,117.11
2008-05-27,119.3
2008-06-03,119.5
2008-06-10,118.32
2008-06-18,116.47
2008-06-25,115.01
2008-07-02,114.93
2008-07-09,113.8
2008-07-16,110.2
2008-07-23,108.7
2008-07-30,108.96
2008-08-06,110.12
2008-08-13,111.24
2008-08-20,111.51
2008-08-27,116.82
2008-09-03,122.13
2008-09-11,128.2
2008-09-18,132.02
2008-09-25,135.14
2008-10-02,138.27
2008-10-09,141.39
2008-10-16,144.51
2008-10-23,147.63
2008-10-30,147.47
2008-11-06,146.61
2008-11-13,145.75
2008-11-20,144.9
2008-11-27,144.04
2008-12-05,143.06
2008-12-12,142.2
2008-12-19,142.07
2008-12-26,141.99
2009-01-02,141.91
2009-01-09,141.83
2009-01-16,141.75
2009-01-23,141.67
2009-01-30,141.59
2009-02-06,143.5
2009-02-13,142.82
2009-02-20,141.19
2009-02-28,139.33
2009-03-07,137.7
2009-03-14,136.07
2009-03-21,134.44
2009-03-28,132.81
2009-04-04,131.18
2009-04-11,129.55
2009-04-18,130.02
2009-04-25,132.16
2009-05-02,134.33
2009-05-09,139.13
2009-05-16,143.92
2009-05-24,149.4
2009-05-31,154.2
2009-06-07,159.0
2009-06-14,161.48
2009-06-21,161.84
2009-06-28,163.45
2009-07-05,165.06
2009-07-12,165.44
2009-07-19,166.4
2009-07-26,166.83
2009-08-02,164.68
2009-08-09,159.77
2009-08-17,154.49
2009-08-24,151.16
2009-08-31,150.68
2009-09-07,149.91
2009-09-14,147.34
2009-09-21,145.2
2009-09-28,144.78
2009-10-05,145.78
2009-10-12,146.89
2009-10-19,147.7
2009-10-26,143.8
2009-11-02,139.21
2009-11-10,135.65
2009-11-17,135.18
2009-11-24,136.73
2009-12-01,138.96
2009-12-08,140.25
2009-12-15,139.79
2009-12-22,139.04
2009-12-29,137.92
2010-01-05,135.95
2010-01-12,133.36
2010-01-19,131.36
2010-01-27,131.0
